snapshot_date,voice_id,public_owner_id,name,language,locale,accent,gender,age,descriptive,use_case,category,usage_character_count_1y,usage_character_count_7d,cloned_by_count,featured,rate,preview_url,description
2026-08-15,NOpBlnGInO9m6vDvFkFC,ae23ca715ed6b339e4ad22f2d45dd40b36a6449e031b4f8970bfe29524bd1bbc,Spuds Oxley - Wise and Approachable,en,en-US,american,male,old,gentle,conversational,high_quality,5675830592,30473996,2518593,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/Bi4YhYxPTDRSUfiEpED4qyJ0biq2/voices/NOpBlnGInO9m6vDvFkFC/M4xySW4rr1SbAKKwMAtI.mp3,A friendly grandpa who knows how to enthrall his audience with tall tales and fun adventures.
2026-08-15,l1zE9xgNpUTaQCZzpNJa,7bc0a029a3367b325b55ae78d5d1ac6c17c73d4db23797822acb4a2ba5c4a6a0,"Alberto Rodríguez - Serious, Narrative",es,es-AR,latin american,male,middle_aged,casual,narrative_story,high_quality,5250958574,36711888,1086953,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/l1zE9xgNpUTaQCZzpNJa/sF0SJSVjERJtMSqfZLPN.mp3,"Adult male voice, serious tone, ideal for narrations."
2026-08-15,IRHApOXLvnW57QJPQH2P,7f002cc08b25f133975f64e7400e04182de633b1fc447e277e57871888ffead6,"Adam - American, Dark and Tough",en,en-US,american,male,middle_aged,intense,characters_animation,high_quality,4740033805,122824201,1962581,false,1,https://api.us.elevenlabs.io/v1/voices/IRHApOXLvnW57QJPQH2P/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ1c2VyX2lkIjoiNEdXZzBVd1FLWGJpVkZPMFRybDRqTURTVGI4MiIsImZpbGVuYW1lIjoiNzc1ODgyMmYtYzk4Yy00ZGI5LWFiMGEtMTg2YjZhMTNiZTFhLm1wMyIsInRpbWVzdGFtcCI6MTc4NjgxMzIwMDAwMDAwMH0%3D,"A tough hero, weathered by years of experience. American accent."
2026-08-15,aQROLel5sQbj1vuIVi6B,b247dc107f092f9c7fd88dd7ac6a4e149890d670ca93290b7924034b604422c1,Nicolas - Narrator,fr,fr-FR,parisian,male,middle_aged,professional,narrative_story,high_quality,4069579374,19459289,765298,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/7593eab373974d1db7d45255c5986d46/voices/aQROLel5sQbj1vuIVi6B/shwzqRrR51OISZWUl7EN.mp3,Middle aged French male voice. Ideal for audioguide and all narration projects.
2026-08-15,33B4UnXyTNbgLmdEDh5P,c5b0c3c8dfdca43f9969078cb5a4f26cbf45794aefe2a7fb929d94dc05aee26d,"Keren - Sweet, Vibrant and Rhythmic",pt,pt-BR,brazilian,female,young,excited,narrative_story,professional,3941091853,48010668,132182,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/33B4UnXyTNbgLmdEDh5P/ArnzDsFaz6KDoDcDD8V2.mp3,"Young female with a sweet and pleasant voice, embodying the vibrant energy typical of someone in their twenties. With a perfectly rhythmic tone, the voice is ideal for narrating scripts and stories, providing a cadence that captivated listeners. This quality made the voice perfect for content creation, as it conveyed emotion and maintained the interest of the audience effortlessly."
2026-08-15,9F4C8ztpNUmXkdDDbz3J,ee0183bb1c4ecf58baa57bdfd4dcdcdbd7c28344b9e1431d4200708bb04f375b,"Dan - Upbeat, Dynamic and Friendly",es,es-US,american,male,young,excited,social_media,professional,3684506370,31112171,833717,false,1,https://storage.googleapis.com/eleven-public-prod/oDQDaQK0SGT9AtdG8VDe17L4KjX2/voices/9F4C8ztpNUmXkdDDbz3J/4d3e2bc3-b9f8-4bf0-84b2-22e0c15102f6.mp3,An upbeat and modulate voice. Great for shorts and social media.
2026-08-15,FZkK3TvQ0pjyDmT8fzIW,7398804d9eaf2f463899a907587c33a390591775784f87857b6d0e1e4e3e66f6,"Bunty - Punchy, Crisp and Reel King",hi,hi-IN,standard,male,young,excited,social_media,high_quality,3313717793,169356175,1398345,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/FZkK3TvQ0pjyDmT8fzIW/opgBS6JEyrQnlsYlwCAj.mp3,"A vibrant AI voice crafted for content creators, influencers, and digital storytellers.

Bunty’s natural, expressive tone makes videos feel relatable and compelling, perfect for YouTube shorts, Instagram reels, and TikTok trends. His engaging style enhances storytelling, promotions, and entertainment content, keeping audiences hooked. Designed for creators looking to boost engagement and authenticity in Hindi-language content, Bunty delivers a smooth and dynamic performance."
2026-08-15,ueSxRO0nLF1bj93J2hVt,24af9bca24b537e7fdb690afb6757bedeb6182471c2b54ebf6737884e4b3d8f6,"Trung Caha - Clear, Firm and Informative",vi,vi-VN,northern,male,middle_aged,crisp,conversational,high_quality,2929570922,2973600,85792,false,1,https://api.us.elevenlabs.io/v1/voices/ueSxRO0nLF1bj93J2hVt/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ1c2VyX2lkIjoieTZmS1RGRUc3RWUxN1oxekRaSG9HRk5zVktZMiIsImZpbGVuYW1lIjoiZGU0YWM2ZTktNzVkNy00NGM1LWJiNTAtMjMwNWRmZGRhMjgwLm1wMyIsInRpbWVzdGFtcCI6MTc4NjgxMzIwMDAwMDAwMH0%3D,Middle aged Vietnamese male voice. Great for conversations. Miền Bắc.
2026-08-15,3EuKHIEZbSzrHGNmdYsx,3ab20ab8564639791969cc67bb092b3f7492e9f622463792af92d2b35ae2c1aa,"Nikolay - Confident, Clear and Engaging",ru,ru-RU,standard,male,middle_aged,confident,social_media,professional,2887767700,7276319,764762,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/fbf84673baa740ae87ecf80121645a80/voices/3EuKHIEZbSzrHGNmdYsx/eDCArYD3qxTq5zrHJjYL.mp3,Middle-aged Russian male with a confident tone. Great for Social media.
2026-08-15,hIssydxXZ1WuDorjx6Ic,5900d21f3915dcc6556b7a9b57171dc028a2fd886c920b9819efb75100732fa2,"Adam - Serious, Rich, and Smoky",pl,pl-PL,mazovian,male,middle_aged,calm,narrative_story,high_quality,2650654111,46895947,412014,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/OL55YKALeab7lyIfDKwe0l2b1bR2/voices/hIssydxXZ1WuDorjx6Ic/kNa9LiskFM0zlZprIFgg.mp3,"Polish male voice, warm and calm voice."
2026-08-15,gJEfHTTiifXEDmO687lC,810035bb0570f7b4d2c167d14d8ea5bde595b042e89a96e29991818087d29c29,"Prince Nur - Deep, Rich and Balanced",ru,ru-RU,standard,male,young,confident,narrative_story,professional,2515445436,2499287,667374,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/lJ828Qq43ZUVkWzzuPT8tmVIlVB3/voices/gJEfHTTiifXEDmO687lC/bvLjXgefFonQ8qV9UFjN.mp3,"Fragrant velvet voice. A tempting combination of low shades with hot notes will emphasize the depth and richness of your reel, shorts or audiobook."
2026-08-15,qByVAGjXwGlkcRDJoiHg,ca884bf8fb6a7ba5930a034ff530ea36f1e78c440426909ecca8e834445a273d,Kiều Linh,vi,vi-VN,standard,female,young,confident,advertisement,professional,2217950508,794602,23988,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/29ca19d1407e47fc86008497a8499f88/voices/qByVAGjXwGlkcRDJoiHg/e95723e3-1ba6-4b30-b302-6e4bcbf5b808.mp3,"Authentic & Confident — A real Vietnamese female voice with a natural Ho Chi Minh City accent. Trained on a broad and diverse body of recordings across multiple vocal styles, from casual conversation and mindfulness narration to formal speeches and high-energy commercial delivery. Clear, articulate, and emotionally adaptable, this voice is well suited for audiobooks, e-learning, brand narration, advertising copy, and general voiceover applications."
2026-08-15,7eVMgwCnXydb3CikjV7a,9104f466a293c99963e66f347b8faf904dc65dec464c358ebfd0a893a325ef96,Lea - Clear and Feminine,de,de-DE,standard,female,middle_aged,calm,narrative_story,high_quality,2070488807,3471876,111239,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/7eVMgwCnXydb3CikjV7a/zMitELWPfkgqNXLr2X9t.mp3,"A clear and attractive mature female German voice. Perfect for German language, but great for English with a German accent too. Her entrancing and sexy voice is ideal for accurate German narration or voiceovers of audiobooks, advertising, gaming and social media."
2026-08-15,plgKUYgnlZ1DCNh54DwJ,d97f5ad7ad5d061bf0f3a0588b6f29b87db70f32e955f24cd68b9a0607a9849c,"Dakocan - Expressive, Cheerful and Clear",id,id-ID,standard,male,young,casual,social_media,high_quality,2028247578,3419813,156192,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/3eec0209b926438181358e9dff604f79/voices/plgKUYgnlZ1DCNh54DwJ/HejSq6IywpJ4DZNrJGpv.mp3,"An Indonesian young adult male voice with casual tone. Applicable for podcast, casual voice over and storytelling."
2026-08-15,McVZB9hVxVSk3Equu8EH,9829617f54e50f6c2c19c3d00fb79943933789ef5c5bf78cb906a3880dd294e8,Audrey - Energetic Commercial,fr,fr-FR,standard,female,middle_aged,professional,advertisement,high_quality,1949768247,4677792,205581,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/McVZB9hVxVSk3Equu8EH/fQOpiFrrNtzg6dglRCvf.mp3,Middle aged female voice. Suitable for Commercials.
2026-08-15,Nh2zY9kknu6z4pZy6FhD,e9a6840c69b79812b77ea81fa11d55aaf80dcf1938fa0137bf7f514f67f75c99,David Martin - Confident and Balanced,es,es-ES,peninsular,male,young,confident,narrative_story,high_quality,1933481038,8458264,1293321,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/8RYUsFHsalUXjwVG0LjhNwH1j022/voices/Nh2zY9kknu6z4pZy6FhD/5VD3I67SoLbajJEbw7rH.mp3,Young Spanish-Castillian male with a confident tone. Works well for Storytelling.
2026-08-15,6vTyAgAT8PncODBcLjRf,d4e9c130f8cfcae0d7b09451a29827b65be3a92681d56b0fe3aff833530be8b5,"Claire - Warm, Pretty and Charming",fr,fr-FR,standard,female,middle_aged,casual,narrative_story,professional,1928853261,7523046,26960,false,1,https://api.us.elevenlabs.io/v1/voices/6vTyAgAT8PncODBcLjRf/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiI3MGVjMWRhNGU4NGQ0MjdjODQxNWQzZjJiODk4YzlkOCIsImZpbGVuYW1lIjoiS1Z5dVp5QUFYZlNYcXBsVEVybFgubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"Middle aged female with a Warm and engaging, conversational style voice."
2026-08-15,W71zT1VwIFFx3mMGH2uZ,d0bc74494e98081c4e15ba13dc421de4c9112aa6b7715616e49e2abad7b7a8b6,"MarcoTrox - Warm, Balanced and Polished",it,it-IT,standard,male,middle_aged,intense,narrative_story,high_quality,1872623679,6664706,480193,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/PmcWCeDWyhXdgWnKoeG8s6OvV0L2/voices/W71zT1VwIFFx3mMGH2uZ/rnNCyOY4g9O3iiz8jRAb.mp3,"Middle-aged Italian, professional voice actor. Ideal for audiobooks, storytelling and narration."
2026-08-15,K75lPKuh15SyVhQC1LrE,43bae71b00e097a0f084eb67a7325e699c031138edffc9ac20bae46940f7d69e,Carola - Sharp and Clear,de,de-DE,unknown,female,middle_aged,calm,informative_educational,professional,1832347003,28048843,9523,false,1,https://storage.googleapis.com/eleven-public-prod/5ei0MqicAANlsSFIQjEs6ffqAsA3/voices/K75lPKuh15SyVhQC1LrE/4148b6cd-757d-4551-992d-2b218a520ef5.mp3,A middle aged German pleasant female voice with dynamics and warmth. Works well for Educational content.
2026-08-15,kdmDKE6EkgrWrrykO9Qt,f995f689648bc413c1b7fb9ec8524f634e4d32f5030ee172ef6d847ba9dc5ee9,Alexandra - Conversational and Natural,en,en-US,american,female,young,casual,conversational,high_quality,1725567466,84422592,247129,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/1df4b21393b74964b03d3690a173eb80/voices/kdmDKE6EkgrWrrykO9Qt/yJT6XwhJHSWv3Pb05OIk.mp3,"Youthful and authentic, with a conversational tone that's relatable and down-to-earth."
2026-08-15,ZJCNdZEjYwkOElxugmW2,219e2c24fb2ce1f2a9727325609ced8e5548e2320fdd30d5f0e774c19e0604f8,Hyuk - Cold and Clear,ko,ko-KR,standard,male,middle_aged,relaxed,narrative_story,high_quality,1720797575,4985424,352376,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/hSWXaUomcSNh92DBdVimNedwBFB2/voices/ZJCNdZEjYwkOElxugmW2/dOgEto9Z9e1UqrYhRSe0.mp3,Middle aged Soft and emotional Korean male voice. Great for Narration & Storytelling.
2026-08-15,FTNCalFNG5bRnkkaP5Ug,80d9191368f6824d0aacf4080a0894aecb0c4bdd82928eb623e585caf54a84b7,Otto - Casual and Normal,de,de-DE,standard,male,middle_aged,calm,narrative_story,high_quality,1707996150,8527923,364016,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/FTNCalFNG5bRnkkaP5Ug/MQ8WiEa4ozV4HevPeMba.mp3,"A calm male German studio-quality voice. Perfect for German language and English with a German accent. Otto's clear, easy-to-understand narration is excellent for German voiceovers, audiobooks and podcasts, accurate video dubbing, advertising, and social media such as Reels, Stories, and YouTube."
2026-08-15,AnvlJBAqSLDzEevYr9Ap,9104f466a293c99963e66f347b8faf904dc65dec464c358ebfd0a893a325ef96,"Ava - Youthful, Authentic and Friendly",de,de-DE,standard,female,young,pleasant,narrative_story,high_quality,1359471633,4482799,71921,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/AnvlJBAqSLDzEevYr9Ap/WMSO4Wuwrzy81szsGlvY.mp3,"A youthful and well-spoken female German voice. Perfect for German language, but great for English with a German accent too. 
Her neutral accent is easily understandable and perfect for accurate German narration or voiceovers of audiobooks, advertising, gaming and social media. 
Eine jugendliche, frische und wortgewandte weibliche deutsche Stimme. Die Studioqualität garantiert, dass sie mit ihrer klaren und fesselnden Stimme ihre Audio-Projekte bereichern wird."
2026-08-15,1qEiC6qsybMkmnNdVMbK,f87f057c2250691953ac2e6227859706764bd08c88a055a18c74261957885a51,Monika Sogam - Calm and Natural,hi,hi-IN,standard,female,middle_aged,professional,narrative_story,high_quality,1330928604,19044700,1149563,false,1,https://api.us.elevenlabs.io/v1/voices/1qEiC6qsybMkmnNdVMbK/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiI1MTRkOTRlOTI0MWM0OGU4Yjc5MDUzNzU3MjljNDM2ZiIsImZpbGVuYW1lIjoiM0FWQVFCWHUwdllzSXJnRGM2RmEubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"Monika Sogam is already a pretty loved voice on ElevenLabs in the English Indian category. Now it is available in Hindi too. This is a perfect voice for social media, audiobooks, and any type of conversational audio you might be looking for."
2026-08-15,H5xTcsAIeS5RAykjz57a,5900d21f3915dcc6556b7a9b57171dc028a2fd886c920b9819efb75100732fa2,Alex - Warm Storyteller,pl,pl-PL,standard,male,middle_aged,classy,informative_educational,high_quality,1087780243,7527791,560121,false,1,https://api.us.elevenlabs.io/v1/voices/H5xTcsAIeS5RAykjz57a/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ1c2VyX2lkIjoiT0w1NVlLQUxlYWI3bHlJZkRLd2UwbDJiMWJSMiIsImZpbGVuYW1lIjoiOGZlNGJhNDctZjEwNy00Yjc3LTk2MWMtZWYzYTNlOTM5OTU1Lm1wMyIsInRpbWVzdGFtcCI6MTc4NjgxMzIwMDAwMDAwMH0%3D,"Middle aged European (polish) Male with a stead & calm voice. Great for documentaries, audiobook, ads."
2026-08-15,gfKKsLN1k0oYYN9n2dXX,136391b37c76c590e5a8337fee0ade3148d010535925031b132ae20221553dc6,"Violetta - Ringing, Bright and Joyful",it,it-IT,standard,female,middle_aged,professional,narrative_story,high_quality,1078405215,32597986,70218,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/Mxxy1mLEQkeyXX75dokAIWz8bel1/voices/gfKKsLN1k0oYYN9n2dXX/Z2oJ1Jb0O555Pu7XDZv4.mp3,"A warm, clear, and engaging middle-aged Italien female voice. With a smooth, natural tone, this voice is perfect for narrations, audiobooks, or informative audio content. Its expressive quality makes it ideal for storytelling, while remaining professional and easy to follow."
2026-08-15,zgqefOY5FPQ3bB7OZTVR,f87f057c2250691953ac2e6227859706764bd08c88a055a18c74261957885a51,Niraj- Romantic and Smooth,hi,hi-IN,standard,male,middle_aged,deep,narrative_story,high_quality,1077444146,20120636,2011064,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/514d94e9241c48e8b7905375729c436f/voices/zgqefOY5FPQ3bB7OZTVR/MVPA1HijF9jaZEyDPUw2.mp3,"Niraj is the pen name of a veteran Indian actor. The base and variations of this voice make it great for narrative work, documentaries, and social media."
2026-08-15,iWNf11sz1GrUE4ppxTOL,f87f057c2250691953ac2e6227859706764bd08c88a055a18c74261957885a51,"Viraj - Warm, Energetic and Lively",hi,hi-IN,standard,male,young,formal,conversational,high_quality,1057226582,14624845,296544,false,1,https://api.us.elevenlabs.io/v1/voices/iWNf11sz1GrUE4ppxTOL/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ3b3Jrc3BhY2VfaWQiOiI1MTRkOTRlOTI0MWM0OGU4Yjc5MDUzNzU3MjljNDM2ZiIsImZpbGVuYW1lIjoiWmpoSGM4RVRtS0hzaDFJd0tZT1cubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,"A friendly, upbeat voice designed to make every customer feel heard and reassured.

Viraj’s tone blends energy with empathy—ideal for dynamic support bots, voice-based helpdesk systems, and human-like AI calling. His clear delivery and approachability make him a great fit for industries like telecom, fintech, retail, and app-based services. Used across platforms like AI calling apps, customer care hotlines, and WhatsApp voice assistants, Viraj ensures a smooth, positive support experience."
2026-08-15,LXrTqFIgiubkrMkwvOUr,2ac7f9ea6c747c974065f31afe052580bd3aef08f621902b8d040e7559e934c6,"Masry - Narrative, Clear and Strong",ar,ar-EG,egyptian,male,middle_aged,neutral,conversational,professional,1042515791,735552,45495,false,1,https://storage.googleapis.com/eleven-public-prod/database/user/COWGBw0EVLcZa92K5IDgvpaUttd2/voices/LXrTqFIgiubkrMkwvOUr/J85EPZ8jOuD46EGNgsfT.mp3,"Middle age Egyptian dialect arabic voice, perfect for social media reels, dialogues , storytelling and advertisements."
2026-08-15,txnCCHHGKmYIwrn7HfHQ,8eb5bbcd5317ba83f2057356683c3d8398f454e52731a583d3095b83e73616ef,Alexandr Vlasov - Vibrant and Energetic,ru,ru-RU,standard,male,middle_aged,deep,entertainment_tv,professional,1035872214,3899272,373004,false,1,https://storage.googleapis.com/eleven-public-prod/database/workspace/4c37c646e393427a98404da71421521a/voices/txnCCHHGKmYIwrn7HfHQ/9X9MXSKyYdsdkoNjOwY4.mp3,"A unique Russian male voice: rich, calm and versatile, perfect for YouTube, audiobooks, ads, and lectures. Combining emotional depth with clarity, it adapts seamlessly to various projects—from engaging advertisements and immersive audiobooks to compelling educational content and professional lectures."
2026-08-15,36rVQA1AOIPwpA3Hg1tC,7aa6864e110d32cb9246ffe656e404e217aa6e77720759c3675dbf8897fe58ad,Matheus - Friendly and Energetic,pt,pt-BR,unknown,male,young,casual,narrative_story,professional,915789143,9364722,732472,false,1,https://storage.googleapis.com/eleven-public-prod/custom/voices/36rVQA1AOIPwpA3Hg1tC/ewP6z1S1gE5Mb9nBSNaV.mp3,"A young energetic male voice. Great for social media, shorts and video games."
2026-08-15,uyVNoMrnUku1dZyVEXwD,1a1e6c6599fb77c5a995deb7d336b4da47da6a1b2232c551d9290cb0d9770127,"Anna Kim - Tender, Calm and Clear",ko,ko-KR,seoul,female,young,formal,narrative_story,high_quality,880846562,8824929,225649,false,1,https://api.us.elevenlabs.io/v1/voices/uyVNoMrnUku1dZyVEXwD/previews/audio?payload=eyJ2b2ljZV9zb3VyY2UiOiJjdXN0b20iLCJ1c2VyX2lkIjoiT0thQkRzWDRBd1dXak1hWkhCbWhDV0Z2dDlOMiIsImZpbGVuYW1lIjoiVzU1b1AxSXNMTmFOYWdsSnBVWmQubXAzIiwidGltZXN0YW1wIjoxNzg2ODEzMjAwMDAwMDAwfQ%3D%3D,Young Korean female voice. Great for Narrations.
